Provider Id,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description
30078,4212 NORTH 16TH STREET,PHOENIX,AZ,85016,AZ - Phoenix
30083,3929 EAST BELL ROAD,PHOENIX,AZ,85032,AZ - Phoenix
30084,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,NM - Albuquerque
30085,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,AZ - Tucson
30087,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,AZ - Phoenix
30088,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa
30089,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,AZ - Phoenix
30092,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,AZ - Phoenix
30093,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,AZ - Sun City
30094,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,AZ - Phoenix
30100,4888 NORTH STONE AVENUE,TUCSON,AZ,85704,AZ - Tucson
30101,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,NV - Las Vegas
30103,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,AZ - Phoenix
30105,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa
30107,4620 EAST BASELINE ROAD,MESA,AZ,85206,AZ - Mesa
30108,6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,AZ - Phoenix
30110,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,AZ - Phoenix
30111,2800 EAST AJO WAY,TUCSON,AZ,85713,AZ - Tucson
30112,2905 WEST WARNER ROAD,CHANDLER,AZ,85225,AZ - Mesa
30113,200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,AZ,85941,AZ - Phoenix
30114,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,AZ - Tucson
30115,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,AZ - Phoenix
30117,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,NV - Las Vegas
30118,7700 EAST FLORENTINE ROAD,PRESCOTT VALLEY,AZ,86314,AZ - Phoenix
30119,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,AZ - Mesa
30120,5656 SOUTH POWER ROAD,GILBERT,AZ,85295,AZ - Mesa
30121,1301 SOUTH CRISMON ROAD,MESA,AZ,85209,AZ - Mesa
30122,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,AZ - Mesa
